Stat-Xplore

"Households on Universal Credit (I II III IV z)"
"National - Regional - LA - OAs by Month"
"Counting: Households on Universal Credit"

Filters:
"Default Summation","Households on Universal Credit"

"Month","August 2015","August 2015 - Annotations","September 2015","September 2015 - Annotations","October 2015","October 2015 - Annotations","November 2015","November 2015 - Annotations","December 2015","December 2015 - Annotations","January 2016","January 2016 - Annotations","February 2016","February 2016 - Annotations","March 2016","March 2016 - Annotations","April 2016","April 2016 - Annotations","May 2016","May 2016 - Annotations","June 2016","June 2016 - Annotations","July 2016","July 2016 - Annotations","August 2016","August 2016 - Annotations","September 2016","September 2016 - Annotations","October 2016","October 2016 - Annotations","November 2016","November 2016 - Annotations","December 2016","December 2016 - Annotations","January 2017","January 2017 - Annotations","February 2017","February 2017 - Annotations","March 2017","March 2017 - Annotations","April 2017","April 2017 - Annotations","May 2017","May 2017 - Annotations","June 2017","June 2017 - Annotations","July 2017","July 2017 - Annotations","August 2017","August 2017 - Annotations","September 2017","September 2017 - Annotations","October 2017","October 2017 - Annotations","November 2017","November 2017 - Annotations","December 2017","December 2017 - Annotations","January 2018","January 2018 - Annotations","February 2018","February 2018 - Annotations","March 2018","March 2018 - Annotations","April 2018","April 2018 - Annotations","May 2018","May 2018 - Annotations","June 2018","June 2018 - Annotations","July 2018","July 2018 - Annotations","August 2018","August 2018 - Annotations","September 2018","September 2018 - Annotations","October 2018","October 2018 - Annotations","November 2018","November 2018 - Annotations","December 2018","December 2018 - Annotations","January 2019","January 2019 - Annotations","February 2019","February 2019 - Annotations","March 2019","March 2019 - Annotations","April 2019","April 2019 - Annotations","May 2019","May 2019 - Annotations","June 2019","June 2019 - Annotations","July 2019","July 2019 - Annotations","August 2019","August 2019 - Annotations","September 2019","September 2019 - Annotations","October 2019","October 2019 - Annotations","November 2019","November 2019 - Annotations","December 2019","December 2019 - Annotations","January 2020","January 2020 - Annotations","February 2020","February 2020 - Annotations","March 2020","March 2020 - Annotations","April 2020","April 2020 - Annotations","May 2020","May 2020 - Annotations","June 2020","June 2020 - Annotations","July 2020","July 2020 - Annotations","August 2020","August 2020 - Annotations","September 2020","September 2020 - Annotations","October 2020","October 2020 - Annotations","November 2020","November 2020 - Annotations","December 2020","December 2020 - Annotations","January 2021","January 2021 - Annotations","February 2021","February 2021 - Annotations","March 2021","March 2021 - Annotations","April 2021","April 2021 - Annotations","May 2021","May 2021 - Annotations","June 2021","June 2021 - Annotations","July 2021","July 2021 - Annotations","August 2021","August 2021 - Annotations","September 2021","September 2021 - Annotations","October 2021","October 2021 - Annotations","November 2021","November 2021 - Annotations","December 2021 (r)","December 2021 - Annotations","January 2022 (r)","January 2022 - Annotations","February 2022 (r)","February 2022 - Annotations","March 2022 (r)","March 2022 - Annotations","April 2022 (r)","April 2022 - Annotations","May 2022 (r)","May 2022 - Annotations","June 2022 (r)","June 2022 - Annotations","July 2022 (r)","July 2022 - Annotations","August 2022 (r)","August 2022 - Annotations","September 2022 (r)","September 2022 - Annotations","October 2022 (r)","October 2022 - Annotations","November 2022 (r)","November 2022 - Annotations","December 2022 (r)","December 2022 - Annotations","November 2023 (p)","November 2023 - Annotations",
"National - Regional - LA - OAs",
"County Durham",13,,11,,230,,680,,1010,,1403,,1817,,2124,,2351,,2558,,2692,,2989,,3249,,3488,,3792,,3898,,3992,,4098,,4270,,4362,,4435,,4420,,4474,,4528,,4689,,4867,,4985,,5346,,5849,,6624,,7642,,8508,,9282,,9952,,10767,,12131,,13467,,15228,,16501,,17765,,19014,,19539,,19672,,20448,,21228,,21820,,22729,,23514,,24269,,25159,,25786,,26555,,27084,,27484,,28495,,29465,,37191,,40054,,40767,,41420,,42340,,43164,,43476,,44132,,44383,,44696,,45079,,45082,,44893,,44576,,44096,,43986,,43817,,43809,,43600,,43397,,43333,,43374,,43508,,43510,,43522,,43555,,43786,,44320,,44689,,45147,,45479,,45733,,46019,,51404,,
"Darlington",8,,9,,10,,8,,59,,153,,259,,342,,425,,477,,547,,626,,683,,777,,845,,879,,928,,951,,988,,988,,1023,,1028,,1038,,1069,,1121,,1123,,1167,,1188,,1205,,1193,,1152,,1095,,1068,,1034,,984,,1301,,1651,,2110,,2475,,2791,,3083,,3239,,3382,,3577,,3778,,3943,,4183,,4395,,4604,,4816,,4986,,5211,,5339,,5486,,5738,,5962,,7571,,8218,,8375,,8531,,8716,,8938,,9022,,9147,,9151,,9239,,9348,,9368,,9361,,9331,,9281,,9263,,9189,,9145,,9121,,9074,,9013,,9074,,9098,,9059,,9072,,9097,,9189,,9304,,9418,,9512,,9593,,9639,,9695,,10630,,
"Hartlepool",520,,581,,677,,752,,794,,847,,925,,976,,1012,,1036,,1059,,1107,,1155,,1203,,1268,,1280,,1311,,1721,,2126,,2621,,3072,,3361,,3632,,3955,,4268,,4535,,4773,,5075,,5330,,5497,,5789,,6033,,6229,,6394,,6624,,6799,,7008,,7061,,7232,,7423,,7622,,7701,,7327,,7427,,7506,,7543,,7649,,7738,,7876,,8020,,8123,,8227,,8361,,8462,,8658,,8864,,10427,,11025,,11199,,11361,,11494,,11588,,11640,,11748,,11814,,11925,,11977,,11918,,11840,,11764,,11651,,11647,,11664,,11603,,11564,,11536,,11541,,11594,,11603,,11569,,11610,,11630,,11675,,11760,,11876,,11963,,12028,,12116,,12139,,13088,,
"Middlesbrough",..,,..,,..,,..,,6,,5,,33,,211,,377,,525,,654,,845,,973,,1085,,1232,,1305,,1389,,1443,,1545,,1577,,1624,,1651,,1699,,1744,,1777,,1844,,1867,,1890,,1899,,1880,,1812,,1738,,1647,,1595,,1466,,1407,,1352,,1318,,1560,,2280,,3053,,3637,,4491,,5161,,5657,,6083,,6565,,6979,,7332,,7797,,8254,,8709,,9011,,9231,,9800,,10373,,13141,,14517,,15156,,15629,,16060,,16488,,16730,,17067,,17239,,17366,,17560,,17634,,17639,,17566,,17453,,17424,,17331,,17332,,17229,,17118,,17184,,17195,,17238,,17160,,17275,,17377,,17427,,17639,,17727,,17858,,17934,,18123,,18231,,19892,,
"Northumberland",8,,5,,13,,9,,14,,21,,27,,134,,302,,442,,603,,804,,1025,,1165,,1380,,1495,,1654,,1762,,1908,,1990,,2046,,2080,,2095,,2152,,2232,,2297,,2380,,2395,,2483,,2472,,2395,,2312,,2212,,2121,,2010,,1926,,1870,,1855,,1821,,1834,,2460,,3253,,4463,,5233,,5858,,6368,,6970,,7489,,8115,,8834,,9375,,9920,,10295,,10574,,11216,,11825,,16380,,18129,,18512,,18873,,19362,,19792,,20116,,20674,,20848,,21102,,21222,,21170,,21088,,20867,,20714,,20605,,20554,,20473,,20400,,20340,,20384,,20487,,20525,,20540,,20587,,20641,,20777,,21064,,21291,,21501,,21596,,21737,,21956,,23471,,
"Redcar and Cleveland",..,,..,,8,,5,,..,,5,,..,,7,,145,,257,,362,,567,,724,,830,,999,,1083,,1171,,1211,,1326,,1319,,1368,,1371,,1400,,1440,,1500,,1568,,1619,,1621,,1658,,1652,,1611,,1537,,1461,,1371,,1267,,1203,,1166,,1135,,1098,,1067,,1336,,1790,,2472,,2945,,3359,,3695,,4092,,4461,,4786,,5219,,5525,,5892,,6138,,6349,,6725,,7112,,9291,,10161,,10392,,10610,,10918,,11162,,11275,,11541,,11640,,11767,,11915,,11977,,11939,,11876,,11773,,11740,,11791,,11764,,11752,,11730,,11788,,11846,,11935,,11952,,12012,,12077,,12159,,12338,,12447,,12549,,12649,,12733,,12793,,14493,,
"Stockton-on-Tees",..,,6,,5,,9,,24,,190,,379,,509,,668,,764,,867,,1020,,1144,,1228,,1372,,1437,,1522,,1551,,1683,,1735,,1807,,1821,,1810,,1832,,1897,,1939,,1979,,1993,,2021,,1987,,1924,,1857,,1765,,1694,,1601,,1599,,2308,,3058,,3721,,4353,,4969,,5314,,5734,,6118,,6503,,6782,,7122,,7431,,7720,,8112,,8411,,8813,,9065,,9306,,9721,,10229,,13237,,14377,,14764,,15035,,15466,,15738,,15864,,16150,,16288,,16458,,16663,,16684,,16695,,16515,,16352,,16300,,16278,,16274,,16095,,16121,,16124,,16128,,16187,,16138,,16159,,16235,,16299,,16500,,16631,,16804,,16902,,17012,,17135,,18863,,
"Gateshead",240,,377,,498,,641,,759,,888,,1072,,1170,,1295,,1324,,1390,,1467,,1561,,1621,,1705,,1732,,1766,,1770,,1842,,1878,,1917,,1947,,1975,,2035,,2076,,2139,,2208,,2688,,3227,,3704,,4328,,4870,,5532,,5982,,6495,,6871,,7348,,7854,,8225,,8623,,9032,,9265,,9027,,9282,,9523,,9696,,9959,,10104,,10416,,10721,,10942,,11190,,11380,,11552,,11974,,12379,,15637,,16791,,17087,,17391,,17818,,18126,,18347,,18693,,18779,,18951,,19141,,19160,,19038,,18875,,18809,,18742,,18672,,18542,,18389,,18322,,18331,,18209,,18298,,18314,,18413,,18439,,18443,,18579,,18703,,18818,,18779,,18813,,18904,,19702,,
"Newcastle upon Tyne",698,,880,,1073,,1263,,1372,,1553,,1748,,1812,,1910,,1935,,2111,,2454,,2759,,3066,,3427,,3661,,3894,,4108,,4421,,4858,,5720,,6265,,6866,,7719,,8384,,9207,,9778,,10424,,11044,,11406,,12036,,12485,,13060,,13525,,14048,,14362,,14808,,15386,,15862,,16229,,16808,,17079,,16650,,16911,,17355,,17545,,17768,,18018,,18310,,18766,,19116,,19449,,19680,,19937,,20527,,21195,,25883,,27929,,28601,,29175,,29834,,30332,,30743,,31341,,31676,,31992,,31992,,31784,,31577,,31243,,31127,,31058,,31022,,30789,,30359,,30090,,30065,,29992,,29898,,29540,,29451,,29436,,29523,,29869,,29957,,30118,,30065,,30047,,30190,,31182,,
